playerID,birth_year,name_first,name_last,weight,height,bats,throws,debut,final_game,retro_id,bbref_id
sutkogl01,1968.0,Glenn,Sutko,225.0,75.0,R,R,1990-10-03,1991-07-17,sutkg001,sutkogl01
suttodr01,1983.0,Drew,Sutton,200.0,75.0,B,R,2009-07-02,2012-07-30,suttd002,suttodr01
suttola01,1970.0,Larry,Sutton,175.0,71.0,L,L,1997-08-17,2004-06-01,suttl001,suttola01
suzukic01,1973.0,Ichiro,Suzuki,170.0,71.0,L,R,2001-04-02,2015-10-04,suzui001,suzukic01
suzukku01,1983.0,Kurt,Suzuki,205.0,71.0,R,R,2007-06-12,2015-10-03,suzuk001,suzukku01
suzukma01,1975.0,Mac,Suzuki,195.0,75.0,R,R,1996-07-07,2002-06-28,suzum001,suzukma01
sveumda01,1963.0,Dale,Sveum,185.0,74.0,B,R,1986-05-12,1999-10-03,sveud001,sveumda01
swaggbi01,1956.0,Bill,Swaggerty,186.0,74.0,R,R,1983-08-13,1986-05-04,swagb001,swaggbi01
swannpe01,1970.0,Pedro,Swann,195.0,72.0,L,R,2000-09-09,2003-09-27,swanp001,swannpe01
swanru01,1964.0,Russ,Swan,210.0,76.0,L,L,1989-08-03,1994-04-30,swanr001,swanru01
swartda01,1968.0,Dave,Swartzbaugh,195.0,74.0,R,R,1995-09-03,1997-04-22,sward001,swartda01
swarzan01,1985.0,Anthony,Swarzak,215.0,76.0,R,R,2009-05-23,2015-05-08,swara001,swarzan01
sweenbr01,1974.0,Brian,Sweeney,200.0,74.0,R,R,2003-08-16,2010-10-01,sweeb001,sweenbr01
sweenda02,1991.0,Darnell,Sweeney,195.0,73.0,B,R,2015-08-20,2015-10-04,sweed001,sweenda02
sweenma01,1969.0,Mark,Sweeney,195.0,73.0,L,L,1995-08-04,2008-09-26,sweem001,sweenma01
sweenmi01,1973.0,Mike,Sweeney,195.0,73.0,R,R,1995-09-04,2010-10-03,sweem002,sweenmi01
sweenry01,1985.0,Ryan,Sweeney,225.0,76.0,L,L,2006-09-01,2014-08-26,sweer001,sweenry01
swiftbi02,1961.0,Bill,Swift,170.0,72.0,R,R,1985-06-07,1998-09-11,swifb001,swiftbi02
swihabl01,1992.0,Blake,Swihart,205.0,73.0,B,R,2015-05-02,2015-10-04,swihb001,swihabl01
swindgr01,1965.0,Greg,Swindell,225.0,74.0,R,L,1986-08-21,2002-09-23,swing001,swindgr01
swindrj01,1983.0,R. J.,Swindle,190.0,75.0,L,L,2008-07-07,2009-08-04,swinr001,swindrj01
swingpa01,1966.0,Paul,Swingle,185.0,72.0,R,R,1993-09-07,1993-09-27,swinp001,swingpa01
swishni01,1980.0,Nick,Swisher,195.0,72.0,B,L,2004-09-03,2015-10-02,swisn001,swishni01
switzjo01,1979.0,Jon,Switzer,190.0,75.0,L,L,2003-08-02,2009-06-22,switj001,switzjo01
